year,category,overallMotivation,id,motivation,share,Full Name
2023,chemistry,,1029,"""for the discovery and synthesis of quantum dots""",3,Moungi Bawendi
2023,chemistry,,1030,"""for the discovery and synthesis of quantum dots""",3,Louis Brus
2023,chemistry,,1031,"""for the discovery and synthesis of quantum dots""",3,Aleksey Yekimov
2023,economics,,1034,"""for having advanced our understanding of women’s labour market outcomes""",1,Claudia Goldin
2023,literature,,1032,"""for his innovative plays and prose which give voice to the unsayable""",1,Jon Fosse
2023,peace,,1033,"""for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all""",1,Narges Mohammadi
2023,physics,,1026,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",3,Pierre Agostini
2023,physics,,1027,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",3,Ferenc Krausz
2023,physics,,1028,"""for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter""",3,Anne L’Huillier
2023,medicine,,1024,"""for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19""",2,Katalin Karikó
2023,medicine,,1025,"""for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19""",2,Drew Weissman
2022,chemistry,,1015,"""for the development of click chemistry and bioorthogonal chemistry""",3,Carolyn Bertozzi
2022,chemistry,,1016,"""for the development of click chemistry and bioorthogonal chemistry""",3,Morten Meldal
2022,chemistry,,743,"""for the development of click chemistry and bioorthogonal chemistry""",3,Barry Sharpless
2022,economics,,1021,"""for research on banks and financial crises""",3,Ben Bernanke
2022,economics,,1022,"""for research on banks and financial crises""",3,Douglas Diamond
2022,economics,,1023,"""for research on banks and financial crises""",3,Philip Dybvig
2022,literature,,1017,"""for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory""",1,Annie Ernaux
2022,peace,,1018,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",3,Ales Bialiatski
2022,peace,,1019,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",3,Memorial 
2022,peace,,1020,"""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",3,Center for Civil Liberties 
2022,physics,,1012,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",3,Alain Aspect
2022,physics,,1013,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",3,John Clauser
2022,physics,,1014,"""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""",3,Anton Zeilinger
2022,medicine,,1011,"""for his discoveries concerning the genomes of extinct hominins and human evolution""",1,Svante Pääbo
2021,chemistry,,1002,"""for the development of asymmetric organocatalysis""",2,Benjamin List
2021,chemistry,,1003,"""for the development of asymmetric organocatalysis""",2,David MacMillan
2021,economics,,1007,"""for his empirical contributions to labour economics""",2,David Card
2021,economics,,1008,"""for their methodological contributions to the analysis of causal relationships""",4,Joshua Angrist
2021,economics,,1009,"""for their methodological contributions to the analysis of causal relationships""",4,Guido Imbens
2021,literature,,1004,"""for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents""",1,Abdulrazak Gurnah
2021,peace,,1005,"""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace""",2,Maria Ressa
2021,peace,,1006,"""for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace""",2,Dmitry Muratov
2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",999,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""",4,Syukuro Manabe
2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",1000,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""",4,Klaus Hasselmann
2021,physics,"""for groundbreaking contributions to our understanding of complex physical systems""",1001,"""for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales""",2,Giorgio Parisi
2021,medicine,,997,"""for their discoveries of receptors for temperature and touch""",2,David Julius
